level_code,word,ipa,phonetic_us,en_definition,zh_definition,example_en,example_zh,topic,audio_url_uk,audio_url_us,image_url,emoji,difficulty,frequency
CET4,exceed,/ɪkˈsiːd/,/ɪkˈsiːd/,"to be greater than a number or amount",超过；超出,Sales exceeded expectations.,销售超出了预期。,action,,,,📈,3,3
CET4,feasible,/ˈfiː.zə.bəl/,/ˈfiː.zə.bəl/,"possible to do",可行的,Is this plan feasible?,这个计划可行吗？,general,,,,✅,3,3
CET4,illustrate,/ˈɪl.ə.streɪt/,/ˈɪl.ə.streɪt/,"to explain something with examples",说明；举例说明,Let me illustrate my point.,让我来说明我的观点。,communication,,,,📖,3,3
CET4,indicate,/ˈɪn.dɪ.keɪt/,/ˈɪn.də.keɪt/,"to show something",表明；指出,The data indicates a trend.,数据显示出一个趋势。,action,,,,👆,3,3
CET4,negotiate,/nɪˈɡəʊ.ʃi.eɪt/,/nɪˈɡoʊ.ʃi.eɪt/,"to discuss to reach an agreement",谈判；协商,We need to negotiate the price.,我们需要协商价格。,communication,,,,🤝,3,3
CET4,phenomenon,/fəˈnɒm.ɪ.nən/,/fəˈnɑː.mə.nɑːn/,"something observed to happen",现象,It's a common phenomenon.,这是一个常见的现象。,science,,,,🌟,3,3
CET4,preliminary,/prɪˈlɪm.ɪ.nər.i/,/prɪˈlɪm.ə.ner.i/,"coming before the main part",初步的；预备的,This is a preliminary report.,这是一份初步报告。,general,,,,1️⃣,3,3
CET4,substantial,/səbˈstæn.ʃəl/,/səbˈstæn.ʃəl/,"large in amount or importance",大量的；重要的,There has been substantial progress.,有了重大进展。,general,,,,📊,3,3
CET4,tendency,/ˈten.dən.si/,/ˈten.dən.si/,"a likelihood to behave in a certain way",倾向；趋势,He has a tendency to forget.,他有健忘的倾向。,character,,,,↗️,3,3
CET6,aggregate,/ˈæɡ.rɪ.ɡət/,/ˈæɡ.rə.ɡət/,"a total made by combining different things",总数；合计,The aggregate cost was high.,总成本很高。,general,,,,➕,4,2
CET6,allocate,/ˈæl.ə.keɪt/,/ˈæl.ə.keɪt/,"to give something for a particular purpose",分配；分派,We allocated funds to each department.,我们给每个部门分配了资金。,action,,,,📊,4,2
CET6,ambitious,/æmˈbɪʃ.əs/,/æmˈbɪʃ.əs/,"having a strong desire to succeed",有雄心的；野心勃勃的,She is an ambitious young lawyer.,她是个雄心勃勃的年轻律师。,character,,,,🚀,4,2
CET6,articulate,/ɑːˈtɪk.jə.lət/,/ɑːrˈtɪk.jə.lət/,"able to express thoughts clearly",能言善辩的；善于表达的,He is an articulate speaker.,他是一位善于表达的演讲者。,communication,,,,🎤,4,2
CET6,compensate,/ˈkɒm.pən.seɪt/,/ˈkɑːm.pən.seɪt/,"to give something good to balance something bad",补偿；弥补,The company compensated the workers.,公司补偿了工人。,action,,,,💸,4,2
CET6,comprehensive,/ˌkɒm.prɪˈhen.sɪv/,/ˌkɑːm.prəˈhen.sɪv/,"complete and including everything",全面的；综合的,We need a comprehensive plan.,我们需要一个综合性的计划。,general,,,,📑,4,2
CET6,contemplate,/ˈkɒn.təm.pleɪt/,/ˈkɑːn.t̬əm.pleɪt/,"to think carefully about something",沉思；深思,She contemplated the offer.,她深思了这个提议。,mental,,,,💭,4,2
CET6,deteriorate,/dɪˈtɪə.ri.ə.reɪt/,/dɪˈtɪr.i.ə.reɪt/,"to become worse",恶化；变坏,His health is deteriorating.,他的健康在恶化。,action,,,,📉,4,2
CET6,discrepancy,/dɪˈskrep.ən.si/,/dɪˈskrep.ən.si/,"a difference between two things that should be the same",差异；不一致,There is a discrepancy in the accounts.,账目上有差异。,general,,,,⚖️,4,2
CET6,endorse,/ɪnˈdɔːs/,/ɪnˈdɔːrs/,"to publicly support something",支持；赞同,I endorse this candidate.,我支持这位候选人。,action,,,,👍,4,2
CET6,facilitate,/fəˈsɪl.ɪ.teɪt/,/fəˈsɪl.ə.teɪt/,"to make something easier",促进；使便利,Computers facilitate learning.,计算机促进学习。,action,,,,🔧,4,2
CET6,implement,/ˈɪm.plɪ.ment/,/ˈɪm.plə.ment/,"to put a plan into action",实施；执行,We need to implement the changes.,我们需要实施这些变化。,action,,,,⚙️,4,2
CET6,incentive,/ɪnˈsen.tɪv/,/ɪnˈsen.t̬ɪv/,"something that encourages action",激励；动机,Money is a strong incentive.,金钱是强大的激励。,general,,,,🎁,4,2
CET6,legitimate,/lɪˈdʒɪt.ɪ.mət/,/ləˈdʒɪt̬.ə.mət/,"allowed by law or reasonable",合法的；合理的,She has a legitimate claim.,她有合理的要求。,law,,,,⚖️,4,2
CET6,perpetuate,/pəˈpetʃ.u.eɪt/,/pɚˈpetʃ.u.eɪt/,"to make something continue for a long time",使永存；使延续,We must not perpetuate the myth.,我们不能让这个迷思延续下去。,action,,,,♾️,4,2
CET6,prevail,/prɪˈveɪl/,/prɪˈveɪl/,"to be most common or frequent",盛行；占优势,Justice will prevail.,正义终将获胜。,general,,,,🏆,4,2
CET6,reconcile,/ˈrek.ən.saɪl/,/ˈrek.ən.saɪl/,"to make two different ideas work together",协调；使和解,They reconciled after the argument.,争吵后他们和解了。,action,,,,🤝,4,2
CET6,reinforce,/ˌriː.ɪnˈfɔːs/,/ˌriː.ɪnˈfɔːrs/,"to make something stronger",加强；强化,Practice reinforces learning.,练习强化学习。,action,,,,💪,4,2
CET6,simultaneously,/ˌsɪm.əlˈteɪ.ni.əs.li/,/ˌsaɪ.məlˈteɪ.ni.əs.li/,"at the same time",同时地,Two things happened simultaneously.,两件事同时发生。,general,,,,⏰,4,2
CET6,sustainable,/səˈsteɪ.nə.bəl/,/səˈsteɪ.nə.bəl/,"able to continue over time",可持续的,We need sustainable energy.,我们需要可持续能源。,general,,,,♻️,4,2
TEM8,abstruse,/æbˈstruːs/,/æbˈstruːs/,"difficult to understand",深奥的；难解的,The philosopher's writings are abstruse.,这位哲学家的著作深奥难懂。,academic,,,,🧩,5,1
TEM8,admonish,/ədˈmɒn.ɪʃ/,/ədˈmɑː.nɪʃ/,"to warn or reprimand firmly",警告；告诫,The teacher admonished the students.,老师警告了学生。,communication,,,,⚠️,5,1
TEM8,bewilder,/bɪˈwɪl.dər/,/bɪˈwɪl.dɚ/,"to confuse someone completely",使迷惑；使不知所措,The sudden change bewildered him.,突然的变化让他不知所措。,emotion,,,,😵,5,1
TEM8,cogent,/ˈkəʊ.dʒənt/,/ˈkoʊ.dʒənt/,"convincing and clearly expressed",令人信服的；强有力的,He made a cogent argument.,他提出了令人信服的论点。,communication,,,,🎯,5,1
TEM8,conundrum,/kəˈnʌn.drəm/,/kəˈnʌn.drəm/,"a confusing and difficult problem",难题；谜,The situation is a conundrum.,这种情况是个难题。,general,,,,❓,5,1
TEM8,demur,/dɪˈmɜːr/,/dɪˈmɝː/,"to raise objections or show reluctance",反对；表示异议,He demurred at the suggestion.,他对这个建议表示反对。,action,,,,🚫,5,1
TEM8,ephemeral,/ɪˈfem.ər.əl/,/ɪˈfem.ɚ.əl/,"lasting for a very short time",短暂的；朝生暮死的,Fame can be ephemeral.,名声可能是短暂的。,general,,,,⏳,5,1
TEM8,erudite,/ˈer.ʊ.daɪt/,/ˈer.ə.daɪt/,"having much knowledge from study",博学的；饱学的,She is an erudite scholar.,她是一位博学的学者。,character,,,,📚,5,1
TEM8,fastidious,/fæsˈtɪd.i.əs/,/fæˈstɪd.i.əs/,"very attentive to details",挑剔的；一丝不苟的,He is fastidious about his appearance.,他对自己的外表很挑剔。,character,,,,🎩,5,1
TEM8,gainsay,/ˌɡeɪnˈseɪ/,/ˌɡeɪnˈseɪ/,"to deny or contradict",否认；反驳,No one can gainsay his contribution.,没人能否认他的贡献。,communication,,,,❌,5,1
TEM8,harangue,/həˈræŋ/,/həˈræŋ/,"a long and angry speech",长篇大论的训斥,He delivered a harangue against the policy.,他对政策发表了长篇抨击。,communication,,,,📢,5,1
TEM8,inexorable,/ɪˈnek.sər.ə.bəl/,/ɪˈnek.sɚ.ə.bəl/,"impossible to stop or prevent",不可阻挡的；无情的,The inexorable march of time.,时间的无情流逝。,general,,,,⏳,5,1
TEM8,juxtapose,/ˌdʒʌk.stəˈpəʊz/,/ˌdʒʌk.stəˈpoʊz/,"to place things side by side",并列；并置,The exhibition juxtaposes old and new art.,展览将新旧艺术并列展出。,action,,,,📑,5,1
TEM8,laconic,/ləˈkɒn.ɪk/,/ləˈkɑː.nɪk/,"using few words",简洁的；简练的,Her laconic reply surprised him.,她简洁的回答让他吃惊。,communication,,,,✂️,5,1
TEM8,mellifluous,/məˈlɪf.lu.əs/,/məˈlɪf.lu.əs/,"having a smooth rich flow, pleasant to hear",悦耳的；流畅的,She has a mellifluous voice.,她嗓音悦耳动听。,sound,,,,🎵,5,1
TEM8,obfuscate,/ˈɒb.fə.skeɪt/,/ˈɑːb.fə.skeɪt/,"to make something unclear or difficult to understand",使混乱；使模糊,Politicians often obfuscate the issues.,政客经常把问题搞得含糊不清。,action,,,,🌫️,5,1
TEM8,perfunctory,/pəˈfʌŋk.tər.i/,/pɚˈfʌŋk.tɚ.i/,"done with little interest or care",敷衍的；草率的,He gave a perfunctory answer.,他敷衍地回答了。,character,,,,😐,5,1
TEM8,quixotic,/kwɪkˈsɒt.ɪk/,/kwɪkˈsɑː.t̬ɪk/,"unrealistic and impractical",不切实际的；空想的,His quixotic plans never succeed.,他不切实际的计划从未成功。,character,,,,🗡️,5,1
TEM8,sagacious,/səˈɡeɪ.ʃəs/,/səˈɡeɪ.ʃəs/,"having good judgment; wise",睿智的；有远见的,She made a sagacious decision.,她做出了明智的决定。,character,,,,🦉,5,1
TEM8,truculent,/ˈtrʌk.jə.lənt/,/ˈtrʌk.jə.lənt/,"easily annoyed and quick to argue",好斗的；凶狠的,His truculent attitude made negotiation difficult.,他好斗的态度让谈判难以进行。,character,,,,😠,5,1
